key,de,en,
de,de,de,
en,en,en,
aboutAmbar,Über Ambar,About Ambar,
amp,Amplitude,Amplitude,
attributes,Eigenschaften,Attributes,
audiofile,Audio-Datei,Audio file,
cancel,Abbrechen,Cancel,
close,Schließen,Close,
connect,Verbinden,Connect,
continue_working,Weiterarbeiten,Continue working,
copy,Kopieren,Copy,
copiedToClipboard,In die Zwischenablage kopiert,Copied to clipboard,
cut,Ausschneiden,Cut,
createSubpatch, Subpatch erstellen, Create subpatch,
delete,Löschen,Delete,
del,löschen,delete,
deleteName,'%1' löschen,Delete '%1',
deleteLocalStorage, Arbeitsbereich und alle Benutzerdaten löschen..., Delete workspace and all user settings...,
disconnect,Trennen,Disconnect,
download,Herunterladen,Download,
duplicate,Duplizieren,Duplicate,
dur,Dauer,Duration,
edited,Bearbeitet,Edited,
emptyWorkspace,Arbeitsbereich ist leer,Workspace is empty,
encyclopaedia,Lexikon,Encyclopaedia,
end,Ende,End,
examples,Beispiele,Examples,
freq,Frequenz,Frequency,
importJSON,JSON-Datei importieren,Import JSON file,
label,Beschriftung,Label,
language,Sprache,Language,
Legal, Impressum & Datenschutzerklärung, Legal,
mainVolume,Gesamtlautstärke,Main Volume
name,Name,Name,
newPatch,Neuer Patch,New patch,
no,Nein,No,
noExamples,Keine Beispiele Verfügbar,No examples available,
off,Aus,Off,
on,An,On,
open,Öffnen,Open,
overwrite,Überschreiben,Overwrite,
palette,Palette,Palette,
paste,Einsetzen,Paste,
patch,Patch,Patch,
push,Taster,Push button,
pw,Pulsweite,Pulse Width,
rate,Tempo,Rate,
rename,Umbenennen,Rename,
save,Speichern,Save,
settings,Einstellungen,Settings,
share,Teilen,Share,
start,Start,Start,
stop,Stop,Stop,
undo,Undo,Undo,
untitled,Ohne Titel,Untitled,
yes,Ja,Yes,
time,Zeit,Time,
toggle,Schalter,Toggle button,
trigger,Trigger,Trigger,
type,Typ,Type,
redo,Redo,Redo,
reset,Zurücksetzen,Reset,
Settings,Einstellungen,Settings,
showInfobox,<b>Infobox:</b> "Zeige eine kurze Beschreibung für jedes Modul, wenn es ausgewählt ist.", <b>Info box:</b> Display a brief description for each module when it is selected.,
showVisualisation,"<b>Visualisierung:</b> Zeige Grafiken, die die Funktionsweise der Module darstellen.",<b>Visualisation:</b> Show diagrams illustrating the modules' functionality.,
visibleInPlayView, Sichtbar in Spielansicht,Visible in Play View,
workspace,Arbeitsbereich,Workspace,
,,,
// Views,,,
page_home,Startseite,Home page,
view_build,Bauen,Build,
view_layout,Anordnen,Arrange,
view_play,Spielen,Play,
page_coding,Coden,Coding,
,,,
// Categories,,,
category_generator,Generatoren,Generators,
category_io,Input/Output,Input/Output,
category_gui,GUI,GUI,
category_processor,Prozessoren,Processors,
category_utility,Utility,Utility,
,,,
// Module names,,,
comment,Kommentar,Comment,
subpatch,Subpatch,Subpatch,
module_audioOut,Audio Output,Audio Output,
module_bandpass,Bandpass-Filter,Band-pass Filter,
module_delay,Delay,Delay,
module_envelope,Hüllkurve,Envelope,
module_filePlayer,Audio-Player,Audio Player,
module_highpass,Hochpass-Filter,High-pass Filter,
module_impulse,Impuls-Generator,Impulse Generator,
module_keyboard,Tastatur,Keyboard,
module_lowpass,Tiefpass-Filter,Low-pass Filter,
module_monoflop,Monoflop,Monoflop,
module_noise,Weisses Rauschen,White Noise,
module_ramp,Rampe,Ramp,
module_random,Zufallsgenerator,Random Generator,
module_rect,Rechteck-Oszillator,Rectangle Oscillator,
module_saw,Sägezahn-Oszillator,Sawtooth Oscillator,
module_scaler,Skalierer,Scaler,
module_sine,Sinus-Oszillator,Sine Oscillator,
module_touchpadGUI,Touchpad,Touchpad,
module_knobGUI,Drehregler,Knob,
module_buttonGUI,Taste,Button,
,,,
// Short description for modules,,,
info_audioOut,Gibt das endgültige Audiosignal des Synthesizers aus.,Outputs the final audio signal of the synthesizer.,
info_bandpass,Lässt einen bestimmten Frequenzbereich passieren.,Lets a specific frequency range pass.,
info_calliopeIn,Schnittstellenmodul für Eingangssignale vom Calliope Mini.,Interface module for input signals from the Calliope Mini.,
info_comment,Bietet Platz für Notizen und Beschriftungen.,Provides space for notes and labels.,
info_delay,Verzögert das Signal um eine gegebene Zeitdauer.,Delays the signal by an adjustable time.,
info_envelope,Formt die Amplitude des Klangs im Zeitverlauf.,Shapes the amplitude of the sound over time.,
info_filePlayer,Spielt Audiodateien als Klangquellen ab.,Plays audio files as sound sources.,
info_highpass,Lässt hohe Frequenzen passieren und dämpft tiefere.,Lets high frequencies pass and attenuates lower ones.,
info_impulse,Erzeugt ein Taktsignal zur Synchronisation der Module.,Generates a clock signal to synchronize the modules.,
info_inlet,Eingangssignal(e) in ein Subpatch.,Input signal(s) into a subpatch.,
info_lowpass,Lässt tiefe Frequenzen passieren und dämpft höhere.,Lets low frequencies pass and attenuates higher ones.,
info_mathDivide,Dividiert das Eingangssignal durch eine Konstante oder ein zweites Signal.,Divides the input signal by a constant or a second signal.,
info_mathMinus,Subtrahiert vom Eingangssignal eine Konstante oder ein zweites Signal.,Subtracts a constant or a second signal from the input signal.,
info_mathPlus,Addiert zum Eingangssignal eine Konstante oder ein zweites Signal.,Adds a constant or a second signal to the input signal.,
info_mathSqrt,Zieht die Wurzel aus dem Eingangssignal.,Calculates the square root of the input signal.,
info_mathTimes,Multipliziert das Eingangssignal mit einer Konstante oder einem zweiten Signal.,Multiplies the input signal by a constant or a second signal.,
info_monoflop,Jeder Eingangswert ungleich 0 wird für eine bestimmte Dauer gehalten.,Any input value not equal to 0 is held for a specified duration.,
info_multipleSelection,Mehrfache Auswahl, Multiple Selection,
info_noise,Erzeugt Rauschen mit gleichmäßiger Energieverteilung über alle Frequenzen.,Generates noise with an even energy distribution across all frequencies.,
